Tamaño,Binaria,Ternaria,Saltos
10000,1.1099997209385037e-05,6.80002267472446e-06,1.090002479031682e-05
100000,1.0499992640689015e-05,8.199975127354264e-06,0.00019690001499839127
1000000,4.370001261122525e-05,8.399976650252938e-06,4.5599997974932194e-05
